,event,matched_pair_id,pair_rank,frame_1_article_id,frame_2_article_id,frame_1_title,frame_2_title,frame_1_source,frame_2_source,frame_1_body,frame_2_body,frame_1_aligned_frame_1_score,frame_1_aligned_frame_2_score,frame_2_aligned_frame_1_score,frame_2_aligned_frame_2_score,frame_1_aligned_body_length,frame_2_aligned_body_length,length_gap,pair_alignment_strength
0,alex_pretti,187f621a17c5c6bf7c2fad387998c56c,1,b2c0217acbd90953f96d830cbb608962,5fa768a9cc09122e1116183297cd0523,The Second Amendment Role Reversal,The Trump Administration Is Lying About Gun Rights and the Death of Alex Pretti,nationalreview,reason,REDACTED,REDACTED,1,-1,-2,2,5930,5913,17,6.0
1,alex_pretti,e3ce34bd1a952992549b576d5c64c5c6,2,737b667f953f6a5a8c8913abcbaee290,04485bf20732feba4c03b9721298e87e,"Alex Pretti shot by two DHS agents during fatal encounter in Minneapolis, agency review finds",Alex Pretti broke rib in clash with federal agents a week before death: CNN,nypost,thehill,REDACTED,REDACTED,1,-1,-2,2,2699,2644,55,6.0
2,alex_pretti,67889e9707614496556ef8633dc1f7de,3,145db9271040805df0a230b9dcd51b0d,e4e66142ab3377faf379d08f0c359a20,New footage appears to show Alex Pretti kicking and spitting on federal agent's car,Medical report: Minneapolis nurse Alex Pretti died by homicide in federal shooting,thenationaldesk,thenationaldesk,REDACTED,REDACTED,1,-1,-2,2,1107,1177,70,6.0
3,alex_pretti,48ae3ca4b8620989a5ea050a44a9551b,4,304715ee16904b3280c3a09de9d0332c,813e69b04f81e71766566731fb84c120,2 federal agents placed on leave following Alex Pretti's deadly shooting: report,Even Stephen Miller is jumping on CBP for the killing of Alex Pretti,thenationaldesk,politico,REDACTED,REDACTED,1,-1,-2,2,1899,1992,93,6.0
4,alex_pretti,0a53723cd2ee762e651f48807dac2901,5,c1da3f605694696a9b1aea10e1b2ccef,00dd4192bc0298315f3057550ead7307,CBP/Border Patrol agents placed on administrative leave after deadly confrontation with Alex Pretti,"DOJ opens federal civil rights probe into death of Alex Pretti, deputy AG says",foxnews,thenationaldesk,REDACTED,REDACTED,1,-1,-2,2,2416,2557,141,6.0
5,alex_pretti,b02f7f215fabc2257fe6466127f11aea,6,7bb484b3ecb1c22e3b73cd2332d43321,438e0a5f6482ceeba73c237fba491a46,Alex Pretti was no protester — here’s who bears blame for his death,"Alex Pretti did not brandish gun, witnesses say in sworn testimony",nypost,theguardian,REDACTED,REDACTED,1,-1,-2,2,4022,4212,190,6.0
6,alex_pretti,55d9cb3286c16d198f1711c74907f6a1,7,878740dda4c9e1dbb68e12d61a697ab6,cce16237c551c5cf3c60fdac856a0fee,"Video appears to show Alex Pretti spit at federal agents, violently damage SUV days before fatal CBP shooting","‘No reason’ Alex Pretti should have died, mother says",foxnews,thehill,REDACTED,REDACTED,1,-1,-2,2,3299,3524,225,6.0
7,alex_pretti,8f265832c70c9ae29d0f5728e2871f2c,8,c1afcbd12919dc453d1581cc24c26ed7,81c4e7e6009bf0408b4ced953f857a66,"DOJ has opened a federal civil rights probe into the death of Alex Pretti, deputy AG says","CEOs, long silent on Trump's immigration crackdown, seem to hit their breaking point over killing of Alex Pretti in Minnesota",pbs,fortune,REDACTED,REDACTED,1,-1,-2,1,4900,4908,8,5.0
8,alex_pretti,76bd534971ba4a2cf51f606961dc7fad,9,e3f969efda2973687977c0ec2f8d7175,bebf1f63ad22be97fd51c04d34908bcf,Judge blocks Trump admin from 'destroying or altering' evidence in deadly Minneapolis shooting,True Heroism and Bearing Witness: the Woman Who Documented the Killing of Alex Pretti,foxnews,motherjones,REDACTED,REDACTED,1,0,-2,2,4425,4367,58,5.0
9,bad_bunny,4db978736787871fd5bd91abc6753663,1,618d1152458b5f5345ffcb0aea109f85,78bf12d142e9840f3f60acc387db034b,5 takeaways from Bad Bunny’s Super Bowl halftime performance,Kid Rock Shares About Jesus as Millions Tune in to TPUSA's 'All American Halftime' Super Bowl Show,thehill,cbn,REDACTED,REDACTED,2,-2,-2,2,3835,3868,33,8.0
